"","frail_CFS","ROC","ROC_95CI","Brier","SMR","Hosmer_Lemeshow"
"1","non-frail","0.928","[ 0.916 ; 0.94 ]",0.04,0.909,24.055
"2","pre-frail","0.865","[ 0.841 ; 0.888 ]",0.072,0.981,29.904
"3","frail","0.841","[ 0.821 ; 0.861 ]",0.104,1.053,26.275
